Model,Precision,Recall,F1,Brier,Avg Prec
XGBoost,0.46348733233979134,0.6244979919678715,0.5320786997433704,0.17896652678939165,0.5506151602129945
RandomForest,0.4776923076923077,0.6234939759036144,0.5409407665505227,0.17820094738316064,0.5559160526571219
MLP-A,0.47082018927444796,0.5993975903614458,0.5273851590106007,0.1856832624426258,0.543132121382566
MLP-B,0.4513212795549374,0.6516064257028112,0.533278553820871,0.18507953880715267,0.5468305696631794
Ensemble (Avg),0.4819369715603382,0.6295180722891566,0.5459294732259469,0.1804140821227795,0.559333863594406
